date,temperature
23-03-05-18-48-24,20
23-03-05-18-49-25,19
23-03-05-18-59-50,19
23-03-05-19-00-51,19
23-03-05-19-01-52,20
23-03-05-19-02-52,18
23-03-05-19-03-53,18
23-03-05-19-04-54,19
23-03-05-19-05-54,18
23-03-05-19-06-55,20
23-03-05-19-07-56,18
23-03-05-19-08-57,18
23-03-05-19-09-57,18
23-03-05-19-10-58,20
23-03-05-19-11-59,19
23-03-05-19-12-59,18
23-03-05-19-14-00,18
23-03-05-19-15-01,20
23-03-05-19-16-01,19
23-03-05-19-17-02,18
23-03-05-19-18-03,18
23-03-05-19-19-03,18
23-03-05-19-20-04,20
23-03-05-19-21-05,18
23-03-05-19-22-05,18
23-03-05-19-23-06,18
23-03-05-19-24-07,20
23-03-05-19-25-07,18
23-03-05-19-26-08,20
23-03-05-19-27-08,20
23-03-05-19-28-09,19
23-03-05-19-29-10,18
23-03-05-19-30-10,20
23-03-05-19-31-11,19
23-03-05-19-32-12,18
23-03-05-19-33-12,18
23-03-05-19-34-13,19
23-03-05-19-35-14,18
23-03-05-19-36-14,19
23-03-05-19-37-15,18
23-03-05-19-38-16,20
23-03-05-19-39-16,18
23-03-05-19-40-17,18
23-03-05-19-41-18,19
23-03-05-19-42-18,20
23-03-05-19-43-19,19
